segments,freq,voltage_start,voltage_end,time_start,time_end
1,20,5,1,12.40,52.35
1,100,5,2.7,2.47,11.65
1,200,5,3,1.22,5.98
1,500,5,3.10,0.455,0.540
1,1000,5,3.10,0.249,0.2535
1,5000,5,3,0.04975,0.05850
1,10000,5,2.70,0.02530,0.03280
1,50000,5,1,0.00505,0.00860
1,100000,5,0.500,0.00245,0.00480
1,500000,5,0.050,0.000500,0.001
5,20,5,1,13,52.60
5,100,5,2.70,2.48,11.74
5,200,5,3,1.24,6.05
5,500,5,3.10,0.497,0.560
5,1000,5,3.10,0.245,0.252
5,5000,5,3.10,0.050,0.05740
5,10000,5,3.00,0.02440,0.03093
5,50000,5,1.65,0.02493,0.02957
5,100000,5,0.850,0.01250,0.01582
5,500000,5,0.03750,0.000475,0.00192
8,20,5,1,12.75,52.50
8,100,5,2.70,2.55,11.60
8,200,5,3,1.30,6
8,500,5,3.10,0.45250,0.520
8,1000,5,3.10,0.235,0.253
8,5000,5,3.10,0.04960,0.05680
8,10000,5,3,0.02540,0.03110
8,50000,5,1.70,0.00492,0.00972
8,100000,5,0.9,0.00245,0.00595
8,500000,5,0.05250,0.000475,0.002020
