date,value
01.07.2012,45566.9
01.08.2012,61561.37
01.09.2012,50699.07
01.10.2012,46978.7
01.11.2012,42498.53
01.12.2012,43623.98
01.01.2013,44255.06
01.02.2013,43210.75
01.03.2013,43336.2
01.04.2013,41942.51
01.05.2013,44632.91
01.06.2013,50739.88
01.07.2013,48700.77
01.08.2013,50324.72
01.09.2013,43714.36
01.10.2013,42808.16
01.11.2013,44536.35
01.12.2013,47901.53
01.01.2014,50662.31
01.02.2014,49817.43
01.03.2014,49145.6
01.04.2014,49671.2
01.05.2014,47900.26
01.06.2014,53342.72
01.07.2014,56704.31
01.08.2014,59228.78
01.09.2014,55091.58
01.10.2014,57976.98
01.11.2014,56732.74
01.12.2014,58391.58
01.01.2015,58550.38
01.02.2015,56469.57
01.03.2015,54117.72
01.04.2015,54533.01
01.05.2015,55586.91
01.06.2015,56344.56
01.07.2015,60778.74
01.08.2015,60484.79
01.09.2015,55776.77
01.10.2015,55256.59
01.11.2015,52145.23
01.12.2015,52972.94
01.01.2016,52763.52
01.02.2016,52864.72
01.03.2016,52754.37
01.04.2016,51434.75
01.05.2016,49804.41
01.06.2016,51362.73
01.07.2016,54459.35
01.08.2016,53742.49
01.09.2016,48541.21
01.10.2016,45910.06
01.11.2016,46904.24
01.12.2016,50140.76
01.01.2017,52436.19
01.02.2017,51787.36
01.03.2017,49483.19
01.04.2017,51733.52
01.05.2017,50126.01
01.06.2017,52408.06
01.07.2017,51861.41
01.08.2017,52992.48
01.09.2017,50985.18
01.10.2017,54963.29
01.11.2017,52270.09
01.12.2017,51816.11
01.01.2018,53432.1
01.02.2018,37715.11
01.03.2018,36781.88
01.04.2018,39180.46
01.05.2018,38847.02
01.06.2018,44207.43
01.07.2018,46149.36
01.08.2018,43632.35
01.09.2018,41002.12
01.10.2018,48766.22
01.11.2018,53084.17
01.12.2018,50592.4
01.01.2019,50511.29
01.02.2019,47707.59
01.03.2019,45940.01
01.04.2019,42505.05
01.05.2019,39076.92
01.06.2019,43002.54
01.07.2019,49538.99
01.08.2019,45544.88
01.09.2019,48332.88
01.10.2019,51993.93
01.11.2019,50315.89
01.12.2019,61695.9
01.01.2020,59597.88
01.02.2020,60109.05
01.03.2020,67978.93
01.04.2020,67187.12
01.05.2020,66393.8
01.06.2020,65169.91
01.07.2020,69301.89
01.08.2020,66943.58
01.09.2020,68866.24
01.10.2020,73594.08
01.11.2020,70304.79
01.12.2020,82423.51
01.01.2021,83148.17
01.02.2021,101230.91
01.03.2021,88703.56
01.04.2021,88187.0
01.05.2021,89532.22
01.06.2021,106222.95
01.07.2021,85157.49
01.08.2021,75015.97
01.09.2021,81854.01
01.10.2021,86103.07
01.11.2021,96993.06
01.12.2021,89325.46
01.01.2022,79748.16
01.02.2022,70352.92
01.03.2022,72810.79
01.04.2022,75412.37
01.05.2022,68496.28
01.06.2022,90117.39
01.07.2022,109642.12
01.08.2022,97974.33
01.09.2022,96008.54
01.10.2022,92058.63
01.11.2022,89344.18
01.12.2022,99266.25
01.01.2023,94161.21
01.02.2023,91717.08
01.03.2023,91692.98
01.04.2023,86829.23
01.05.2023,79956.29
