index,value
order1,yogurt
order1,fruit
order1,milk
order1,butter
order1,flour
order1,dishes
order1,bottled water
order1,curd
order2,vegetable
order2,frozen dessert
order2,salty snack
order2,fruit
order2,sugar
order2,rolls
order2,flour
order2,bathroom cleaner
order2,candy
order2,waffles
order3,vegetable
order3,rolls
order3,spices
order3,cosmetics
order3,bottled water
order3,napkins
order3,meat
order4,vegetable
order4,pork
order4,milk
order4,sugar
order4,berries
order4,abrasive cleaner
order4,soda
order4,whipped/sour cream
order5,vegetable
order5,yogurt
order5,fruit
order5,milk
order5,sugar
order5,eggs
order5,bread
order5,soda
order5,coffee
order5,cereals
order5,pastry
order5,candy
order5,waffles
order6,yogurt
order6,milk
order6,rolls
order6,soda
order6,newspapers
order6,bottled water
order6,cheese
order7,vegetable
order7,milk
order7,rolls
order7,butter
order7,bakery
order7,bottled water
order7,cheese
order7,whipped/sour cream
order7,curd
order8,vegetable
order8,turkey
order8,fruit
order8,eggs
order8,bread
order8,juice
order8,baking powder
order8,margarine
order8,curd
order9,oil
order9,chocolate
order9,rolls
order9,chewing gum
order9,cosmetics
order9,bottled water
order9,napkins
order10,chocolate
order10,specialty fat
order10,milk
order10,candles
order10,butter
order10,flower (seeds)
order10,margarine
order11,oil
order11,chocolate
order11,fruit
order11,milk
order11,eggs
order11,frankfurter
order11,wine
order11,newspapers
order12,vegetable
order12,oil
order12,milk
order12,rolls
order12,eggs
order12,juice
order12,bathroom cleaner
order12,margarine
order13,vegetable
order13,oil
order13,milk
order13,candles
order13,salt
order13,wine
order13,herbs
order14,sausage
order14,vegetable
order14,brandy
order14,detergent
order14,yogurt
order14,rolls
order14,onions
order15,pork
order15,chocolate
order15,fruit
order15,berries
order15,coffee
order15,rice
order15,onions
order15,whipped/sour cream
order15,meat
order16,sausage
order16,rolls
order16,beer
order16,wine
order16,shopping bags
order16,bread
order16,juice
order16,cheese
order16,waffles
order17,vegetable
order17,oil
order17,detergent
order17,fruit
order17,butter
order17,pasta
order17,chicken
order17,meat
order18,sausage
order18,pork
order18,milk
order18,rolls
order18,grapes
order18,soda
order18,bathroom cleaner
order18,pastry
order18,specialty bar
order19,sausage
order19,photo/film
order19,yogurt
order19,milk
order19,beer
order19,shopping bags
order19,coffee
order19,juice
order19,softener
order19,napkins
order20,cling film/bags
order20,waffles
order20,milk
order20,rolls
order20,soda
order20,candy
order20,whipped/sour cream
order21,sausage
order21,vegetable
order21,oil
order21,rolls
order21,beer
order21,chewing gum
order21,frankfurter
order21,dishes
order22,vegetable
order22,dessert
order22,milk
order22,rolls
order22,wine
order22,newspapers
order22,bottled water
order22,margarine
order23,vegetable
order23,fish
order23,cosmetics
order23,shopping bags
order23,coffee
order23,pastry
order23,margarine
order23,bakery
order24,sausage
order24,fruit
order24,milk
order24,sugar
order24,frankfurter
order24,eggs
order24,misc. beverages
order24,cosmetics
order24,juice
order24,rice
order24,cheese
order25,oil
order25,fruit
order25,butter
order25,bread
order25,newspapers
order25,cheese
order25,margarine
order26,vegetable
order26,fruit
order26,milk
order26,sugar
order26,rolls
order26,ham
order26,frankfurter
order26,baking powder
order26,cheese
order27,sausage
order27,dessert
order27,pork
order27,fruit
order27,candles
order27,bread
order27,dishes
order28,vegetable
order28,beverages
order28,yogurt
order28,milk
order28,beer
order28,juice
order28,cheese
order29,vegetable
order29,fruit
order29,milk
order29,beer
order29,ham
order29,bread
order29,juice
order30,dessert
order30,chocolate
