Кол-во сегментов;Частота генератора, Гц;Напряжение входное, В;Напряжение выходное, В;Сдвиг по времени, мс;Сдвиг по фазе
1;20;5;1;39.95;1.59800
1;100;5;2.7;9.18;1.83600
1;200;5;3;4.76;1.90400
1;500;5;3.10;0.085;0.085000
1;1000;5;3.10;0.0045;0.0090000
1;5000;5;3;0.00875;0.08750000
1;10000;5;2.70;0.00750;0.15000000
1;50000;5;1;0.00355;0.35500000
1;100000;5;0.500;0.00235;0.47000000
1;500000;5;0.050;0.000500;0.500000000
5;20;5;1;39.60;1.58400
5;100;5;2.70;9.26;1.85200
5;200;5;3;4.81;1.92400
5;500;5;3.10;0.063;0.063000
5;1000;5;3.10;0.007;0.014000
5;5000;5;3.10;0.00740;0.07400000
5;10000;5;3.00;0.00653;0.13060000
5;50000;5;1.65;0.00464;0.46400000
5;100000;5;0.850;0.00332;0.66400000
5;500000;5;0.03750;0.001445;1.445000000
8;20;5;1;39.75;1.59000
8;100;5;2.70;9.05;1.81000
8;200;5;3;4.70;1.88000
8;500;5;3.10;0.06750;0.06750000
8;1000;5;3.10;0.018;0.036000
8;5000;5;3.10;0.00720;0.07200000
8;10000;5;3;0.00570;0.11400000
8;50000;5;1.70;0.00480;0.48000000
8;100000;5;0.9;0.00350;0.70000000
8;500000;5;0.05250;0.001545;1.545000000
